Language	Lexeme	Metaphor	Determinism	Entity_concerned	Agency(FATE)	Agency(Entity_concerned)	Fairness	Sentiment
PL	przeznaczenie	Enemy/Oppressor/Danger	Non-deterministic	Human-specified	Agentive	Agentive	Unjust	Neutral
PL	przeznaczenie	Destination	Unspecified	Human-specified	Non-agentive	Agentive	Non-applicable	Negative
PL	przeznaczenie	Destination	Unspecified	Human-specified	Non-agentive	Agentive	Non-applicable	Neutral
PL	przeznaczenie	Thing	Deterministic	Non-human	Non-agentive	Non-agentive	Non-applicable	Neutral
PL	przeznaczenie	Human	Deterministic	Human-unspecified	Agentive	Non-agentive	Neutral	Neutral
PL	przeznaczenie	Enemy/Oppressor/Danger	Non-deterministic	Human-specified	Agentive	Non-agentive	Unjust	Neutral
PL	przeznaczenie	Human	Non-deterministic	Human-specified	Agentive	Agentive	Neutral	Neutral
PL	przeznaczenie	Human	Unspecified	Human-specified	Agentive	Agentive	Neutral	Negative
PL	przeznaczenie	Enemy/Oppressor/Danger	Deterministic	Human-specified	Agentive	Agentive	Unjust	Negative
PL	przeznaczenie	God/Providence	Deterministic	Human-specified	Agentive	Non-agentive	Neutral	Negative
PL	przeznaczenie	Thing	Deterministic	Human-specified	Agentive	Non-agentive	Neutral	Neutral
PL	przeznaczenie	Precious Object	Non-deterministic	Human-specified	Non-agentive	Agentive	Non-applicable	Positive
PL	przeznaczenie	Human	Unspecified	Human-specified	Agentive	Non-agentive	Neutral	Neutral
PL	przeznaczenie	Precious Object	Non-deterministic	Human-specified	Agentive	Agentive	Neutral	Positive
PL	przeznaczenie	Thing	Deterministic	Human-specified	Non-agentive	Non-agentive	Non-applicable	Negative
PL	przeznaczenie	Enemy/Oppressor/Danger	Non-deterministic	Human-specified	Agentive	Agentive	Unjust	Negative
PL	przeznaczenie	Destination	Deterministic	Non-human	Non-agentive	Agentive	Non-applicable	Negative
PL	przeznaczenie	Human	Unspecified	Human-unspecified	Agentive	Non-agentive	Neutral	Positive
PL	przeznaczenie	Thing	Deterministic	Human-specified	Non-agentive	Non-agentive	Non-applicable	Negative
PL	przeznaczenie	Thing	Deterministic	Unspecified	Non-agentive	Non-applicable	Non-applicable	Positive
PL	przeznaczenie	Thing	Deterministic	Human-specified	Non-agentive	Non-agentive	Non-applicable	Neutral
PL	przeznaczenie	God/Providence	Deterministic	Human-unspecified	Agentive	Non-agentive	Unjust	Negative
PL	przeznaczenie	God/Providence	Deterministic	Human-specified	Agentive	Non-agentive	Neutral	Neutral
PL	przeznaczenie	God/Providence	Unspecified	Human-specified	Non-agentive	Non-agentive	Non-applicable	Neutral
PL	przeznaczenie	Thing	Non-deterministic	Unspecified	Non-agentive	Non-applicable	Non-applicable	Neutral
PL	przeznaczenie	Human	Deterministic	Human-specified	Agentive	Non-agentive	Just	Neutral
PL	przeznaczenie	Enemy/Oppressor/Danger	Deterministic	Unspecified	Agentive	Non-agentive	Neutral	Negative
